tkstatusid;ticketid;description;reportdate;changedate;internalpriority;siteid;ownergroup;decimal_duration;new_decimal_duration;empresa;sede;area;target;region;tec_solution;rca_ts;ttk_tigo_star;reportedpriority;indicatedpriority;isglobal;relatedtoglobal
12554852;6048302;FALLA CORE TX - AFECTACION;16/07/2017 06:22;16/07/2017 07:17;3;OT;MASS-TX;0.25;0.25;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12554939;6048302;FALLA CORE TX - AFECTACION;16/07/2017 06:22;16/07/2017 07:32;3;OT;RF-ESC01;3.4;3.4;Masscardy;ESCUINTLA;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12554887;6048345;INCIDENTE DE NODO OPTICO TO5248B;16/07/2017 07:09;16/07/2017 07:26;NA;TH;PEINGCTR;3.3;3.3;Ingetelca;CENTRAL;PLEX;3;CENTRAL;CORE;SIN INTERVENCION;NO APLICA;NA;NA;NA;NA
12555007;6048357;FALLA CORE TX - AFECTACION;16/07/2017 07:23;16/07/2017 07:48;3;OT;PEINGZCP;0.05;0.05;Ingetelca;TECULUTAN;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;1;NA
12555116;6048357;FALLA CORE TX - AFECTACION;16/07/2017 07:23;16/07/2017 08:18;3;OT;PEINGZCP;3.79;3.79;Ingetelca;TECULUTAN;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;1;NA
12555204;6048425;FALLA CORE TX - RIESGO;16/07/2017 08:35;16/07/2017 08:45;2;OT;MASS-TX;0.43;0.43;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12555297;6048425;FALLA CORE TX - RIESGO;16/07/2017 08:35;16/07/2017 09:11;2;OT;RF-GUA05;3.34;3.34;Masscardy;CENTRAL;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12556627;6048425;FALLA CORE TX - RIESGO;16/07/2017 08:35;16/07/2017 12:37;2;OT;RF-GUA05;2.73;2.73;Masscardy;CENTRAL;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12556060;6048477;FALLA CORE TX - AFECTACION;16/07/2017 09:53;16/07/2017 10:07;3;OT;MASS-TX;0.31;0.31;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12556098;6048477;FALLA CORE TX - AFECTACION;16/07/2017 09:53;16/07/2017 10:25;3;OT;RF-EPG01;1.05;1.05;Masscardy;EL PROGRESO;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;1;NA
12557020;6048477;FALLA CORE TX - AFECTACION;16/07/2017 09:53;16/07/2017 13:52;3;OT;RF-EPG01;2.53;2.53;Masscardy;EL PROGRESO;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;1;NA
12556088;6048478;FALLA DATOS;16/07/2017 09:56;16/07/2017 10:20;5;BUC;PEBUCOW;3.23;3.23;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12556148;6048489;FALLA CORE TX - AFECTACION;16/07/2017 10:17;16/07/2017 10:44;3;OT;PESOLQTZ;0.05;0.05;Soltec;QUETZALTENANGO;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12556156;6048489;FALLA CORE TX - AFECTACION;16/07/2017 10:17;16/07/2017 10:46;3;OT;PESOLCOA;2.27;2.27;Soltec;COATEPEQUE;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12556684;6048583;INCIDENTE EN NODO OPTICO MP6147A;16/07/2017 12:32;16/07/2017 12:49;NA;TH;PEINGVN;2.55;2.55;Ingetelca;VILLA NUEVA;PLEX;3;CENTRAL;CORE;MALA CALIDAD DE ENERGIA COMERCIAL;NO APLICA;NA;NA;NA;NA
12556780;6048604;FALLA CORE TX - AFECTACION;16/07/2017 12:54;16/07/2017 13:14;3;OT;MASS-TX;0.19;0.19;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12556928;6048604;FALLA CORE TX - AFECTACION;16/07/2017 12:54;16/07/2017 13:25;3;OT;RF-AVP03;0.07;0.07;Masscardy;ALTA VERAPAZ;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;1;NA
12556985;6048604;FALLA CORE TX - AFECTACION;16/07/2017 12:54;16/07/2017 13:47;3;OT;RF-AVP03;1.61;1.61;Masscardy;ALTA VERAPAZ;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;1;NA
12557397;6048604;FALLA CORE TX - AFECTACION;16/07/2017 12:54;16/07/2017 15:23;3;OT;PESOLAVP;1.53;1.53;Soltec;COBAN;PLEX;4;RURAL;CORE;NA;SI APLICA;5;3;1;NA
12558770;6048998;FALLA CORE TX - AFECTACION;16/07/2017 18:58;16/07/2017 19:10;3;OT;MASS-TX;0.34;0.34;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12558839;6048998;FALLA CORE TX - AFECTACION;16/07/2017 18:58;16/07/2017 19:30;3;OT;RF-PTN02;0.72;0.72;Masscardy;PETEN;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12558962;6049021;FALLA CORE TX - AFECTACION;16/07/2017 19:44;16/07/2017 20:06;3;OT;PESOLQTZ;2.66;2.66;Soltec;QUETZALTENANGO;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12559139;6049050;INCIDENTE DE NODO OPTICO AB5044B;16/07/2017 21:43;16/07/2017 21:57;NA;TH;PEINGCTR;1.26;1.26;Ingetelca;CENTRAL;PLEX;3;CENTRAL;CORE;MALA CALIDAD DE ENERGIA COMERCIAL;NO APLICA;NA;NA;NA;NA
12559313;6049071;FALLA CORE TX - AFECTACION;17/07/2017 01:21;17/07/2017 01:38;3;OT;MASS-TX;0.25;0.25;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12559320;6049071;FALLA CORE TX - AFECTACION;17/07/2017 01:21;17/07/2017 01:54;3;OT;RF-QTZ01;5.99;5.99;Masscardy;QUETZALTENANGO;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12559327;6049074;FALLA CORE TX - RIESGO;17/07/2017 01:48;17/07/2017 02:09;2;OT;MASS-TX;1.83;1.83;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12559444;6049074;FALLA CORE TX - RIESGO;17/07/2017 01:48;17/07/2017 03:59;2;OT;RF-JTP02;0.57;0.57;Masscardy;JUTIAPA;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12559558;6049074;FALLA CORE TX - RIESGO;17/07/2017 01:48;17/07/2017 04:33;2;OT;PW-CHQ01;3.29;3.29;Masscardy;CHIQUIMULA;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12559438;6049081;FALLA CORE TX - AFECTACION;17/07/2017 03:09;17/07/2017 03:46;3;OT;MASS-TX;0.34;0.34;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12559537;6049081;FALLA CORE TX - AFECTACION;17/07/2017 03:09;17/07/2017 04:06;3;OT;RF-PTN03;5.87;5.87;Masscardy;PETEN;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12559436;6049085;FALLA CORE TX - AFECTACION;17/07/2017 03:19;17/07/2017 03:39;3;OT;MASS-TX;0.4;0.4;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12559533;6049085;FALLA CORE TX - AFECTACION;17/07/2017 03:19;17/07/2017 04:03;3;OT;RF-SCH01;2.97;2.97;Masscardy;SUCHITEPEQUEZ;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12560504;6049184;FALLA DATOS / DATA SERVICE OUTAGE;17/07/2017 04:46;17/07/2017 08:16;4;ON;PEBUCOW;0.73;0.73;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12560981;6049184;FALLA DATOS / DATA SERVICE OUTAGE;17/07/2017 04:46;17/07/2017 09:09;4;ON;PEBUCOW;0.08;0.08;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12559681;6049190;FALLA CORE TX - RIESGO;17/07/2017 05:04;17/07/2017 05:22;2;OT;MASS-TX;0.17;0.17;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12559696;6049190;FALLA CORE TX - RIESGO;17/07/2017 05:04;17/07/2017 05:35;2;OT;MASS-TX;0.24;0.24;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12559788;6049190;FALLA CORE TX - RIESGO;17/07/2017 05:04;17/07/2017 05:49;2;OT;RF-MET03;5.89;5.89;Masscardy;CENTRAL;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12560764;6049270;FALLA INTERNET;17/07/2017 08:10;17/07/2017 08:43;5;BUC;PEBUCESC;2.56;2.56;Ingetelca;ESCUINTLA;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12560797;6049278;FALLA CORE TX - RIESGO;17/07/2017 08:14;17/07/2017 08:48;2;OT;PEINGFRA;3.76;3.76;Ingetelca;FRAIJANES;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12560873;6049315;FALLA CORE TX - RIESGO;17/07/2017 08:43;17/07/2017 08:58;2;OT;MASS-TX;0.55;0.55;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12561134;6049315;FALLA CORE TX - RIESGO;17/07/2017 08:43;17/07/2017 09:31;2;OT;PW-JTP01;0.26;0.26;Masscardy;JUTIAPA;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12565321;6049337;BUC,VAS,MINGOB,CÁMARA,FOCO;17/07/2017 09:21;17/07/2017 16:21;5;BUC;PEBUCOW;0.5;0.5;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12562896;6049466;FALLA TX CORE - AFECTACION;17/07/2017 11:12;17/07/2017 11:47;2;OT;MASS-TX;0.56;0.56;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;2;NA;NA
12563269;6049466;FALLA TX CORE - AFECTACION;17/07/2017 11:12;17/07/2017 12:20;2;OT;RF-SCH01;1.04;1.04;Masscardy;SUCHITEPEQUEZ;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;2;NA;NA
12563450;6049499;FALLA DATOS;17/07/2017 11:33;17/07/2017 12:31;5;BUC;PEBUCOW;1.33;1.33;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12563164;6049506;FALLA CORE TX - AFECTACION;17/07/2017 11:46;17/07/2017 12:07;3;OT;MASS-TX;0.61;0.61;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12563747;6049506;FALLA CORE TX - AFECTACION;17/07/2017 11:46;17/07/2017 12:44;3;OT;RF-GUA02;0.33;0.33;Masscardy;CENTRAL;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12563888;6049506;FALLA CORE TX - AFECTACION;17/07/2017 11:46;17/07/2017 13:04;3;OT;RF-MET03;1.38;1.38;Masscardy;CENTRAL;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12563051;6049509;FALLA CORE TX - RIESGO;17/07/2017 11:51;17/07/2017 11:54;2;OT;MASS-TX;0.6;0.6;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12563441;6049509;FALLA CORE TX - RIESGO;17/07/2017 11:51;17/07/2017 12:30;2;OT;PW-JTP01;9.26;9.26;Masscardy;JUTIAPA;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;1;NA
12568766;6049685;FALLA INTERNET;17/07/2017 14:31;18/07/2017 08:06;4;BUC;PEBUCOW;0.55;0.55;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12570299;6049685;FALLA INTERNET;17/07/2017 14:31;18/07/2017 10:06;4;BUC;PEBUCOW;0.64;0.64;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12564971;6049720;FALLA CORE TX - AFECTACION;17/07/2017 14:59;17/07/2017 15:33;3;OT;PEINGRD;1.72;1.72;Ingetelca;RIO DULCE;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12567019;6049739;PROACTIVE - FALLA DATOS  - LEVEL3 - GCAS;17/07/2017 15:16;17/07/2017 21:55;4;ON;PEBUCOW;0.06;0.06;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12568767;6049739;PROACTIVE - FALLA DATOS  - LEVEL3 - GCAS;17/07/2017 15:16;18/07/2017 08:06;4;ON;PEBUCOW;1.25;1.25;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12566872;6049805;FALLA INTERNET;17/07/2017 16:17;17/07/2017 20:48;5;BUC;PEBUCOW;0.06;0.06;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12568372;6049805;FALLA INTERNET;17/07/2017 16:17;18/07/2017 07:06;5;BUC;PEBUCOW;0.3;0.3;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12565693;6049849;FALLA DATOS;17/07/2017 17:02;17/07/2017 17:13;5;BUC;PEBUCOW;1.98;1.98;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12566262;6049889;FALLA CORE TX - AFECTACION;17/07/2017 17:31;17/07/2017 18:05;3;OT;MASS-TX;0.32;0.32;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12566341;6049889;FALLA CORE TX - AFECTACION;17/07/2017 17:31;17/07/2017 18:24;3;OT;RF-SCH01;0.9;0.9;Masscardy;SUCHITEPEQUEZ;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;1;NA
12567016;6049982;FALLA CORE TX - RIESGO;17/07/2017 21:33;17/07/2017 21:53;2;OT;MASS-TX;0.11;0.11;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12568566;6049982;FALLA CORE TX - RIESGO;17/07/2017 21:33;18/07/2017 07:37;2;OT;MASS-TX;0.5;0.5;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12568828;6049982;FALLA CORE TX - RIESGO;17/07/2017 21:33;18/07/2017 08:13;2;OT;MASS-TX;0.32;0.32;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12569135;6049982;FALLA CORE TX - RIESGO;17/07/2017 21:33;18/07/2017 08:47;2;OT;MASS-TX;0.09;0.09;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12569190;6049982;FALLA CORE TX - RIESGO;17/07/2017 21:33;18/07/2017 08:53;2;OT;RF-HHT03;0.69;0.69;Masscardy;HUEHUETENANGO;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12567149;6050002;APERTURA ANILLO DWDM ALU;17/07/2017 21:58;17/07/2017 22:25;NA;OT;PEINGIZB;4.47;4.47;Ingetelca;PUERTO BARRIOS;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;1;NA
12567345;6050067;FALLA CORE - REVISAR - ANILLO DE GESTION;18/07/2017 00:16;18/07/2017 00:35;2;OT;PEINGCTR;1.36;1.36;Ingetelca;CENTRAL;PLEX;3;CENTRAL;CORE;NA;SI APLICA;4;2;NA;NA
12567590;6050091;FALLA CORE TX - REVISAR;18/07/2017 03:28;18/07/2017 03:44;2;OT;MASS-TX;1.37;1.37;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;4;2;NA;NA
12567926;6050091;FALLA CORE TX - REVISAR;18/07/2017 03:28;18/07/2017 05:06;2;OT;RF-HHT03;2.97;2.97;Masscardy;HUEHUETENANGO;PLIN;2.5;RURAL;CORE;NA;SI APLICA;4;2;NA;NA
12568230;6050259;FALLA CORE TX - REVISAR;18/07/2017 05:52;18/07/2017 06:24;2;OT;PESOLPTN;0.53;0.53;Soltec;LA LIBERTAD PETEN;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12568302;6050259;FALLA CORE TX - REVISAR;18/07/2017 05:52;18/07/2017 06:56;2;OT;PEINGRD;0.47;0.47;Ingetelca;RIO DULCE;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12568206;6050264;NA;18/07/2017 05:54;18/07/2017 06:17;NA;OT;MASS-TX;0.1;0.1;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;NA;NA;1;NA
12568239;6050264;NA;18/07/2017 05:54;18/07/2017 06:28;NA;OT;MASS-TX;0.22;0.22;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;NA;NA;1;NA
12568270;6050264;NA;18/07/2017 05:54;18/07/2017 06:41;NA;OT;RF-IZB01;2.23;2.23;Masscardy;IZABAL;PLIN;2.5;RURAL;CORE;NA;SI APLICA;NA;NA;1;NA
12568286;6050291;ATN DOWN;18/07/2017 06:32;18/07/2017 06:53;NA;OT;MASS-TX;0.1;0.1;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;NA;NA;1;NA
12568331;6050291;ATN DOWN;18/07/2017 06:32;18/07/2017 06:59;NA;OT;RF-HHT03;1.98;1.98;Masscardy;HUEHUETENANGO;PLIN;2.5;RURAL;CORE;NA;SI APLICA;NA;NA;1;NA
12568544;6050314;FALLA CORE TX - AFECTACION;18/07/2017 07:03;18/07/2017 07:31;3;OT;MASS-TX;0.45;0.45;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12568673;6050314;FALLA CORE TX - AFECTACION;18/07/2017 07:03;18/07/2017 07:58;3;OT;RF-HHT03;0.4;0.4;Masscardy;HUEHUETENANGO;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;1;NA
12570212;6050316;FALLA CORE TX - RIESGO;18/07/2017 07:11;18/07/2017 09:57;2;OT;RF-MET03;0.01;1.47;Masscardy;CENTRAL;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12568676;6050338;FALLA CORE TX - RIESGO;18/07/2017 07:33;18/07/2017 07:59;2;OT;PESOLSCH;4.45;4.45;Soltec;SUCHITEPEQUEZ;PLEX;4;RURAL;CORE;NA;SI APLICA;5;2;1;NA
12570131;6050345;FALLA DATOS;18/07/2017 07:40;18/07/2017 09:50;5;BUC;PEBUCESC;1.65;1.65;Ingetelca;ESCUINTLA;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12568992;6050393;FALLA CORE TX - RIESGO;18/07/2017 08:08;18/07/2017 08:32;3;OT;PESOLQTZ;0.95;0.95;Soltec;QUETZALTENANGO;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12569629;6050393;FALLA CORE TX - RIESGO;18/07/2017 08:08;18/07/2017 09:29;3;OT;PESOLCOA;1.02;1.02;Soltec;COATEPEQUE;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12570642;6050543;FALLA CORE TX - RIESGO;18/07/2017 10:11;18/07/2017 10:37;2;OT;PEINGCTR;4.42;4.42;Ingetelca;CENTRAL;PLEX;3;CENTRAL;CORE;NA;SI APLICA;4;2;NA;NA
12583511;6050562;SECTOR FUERA DE SERVICIO ON 172.16.5.75;18/07/2017 10:14;19/07/2017 15:14;2;OT;PEINGCTR;1.51;1.51;Ingetelca;CENTRAL;PLEX;3;CENTRAL;CORE;NA;SI APLICA;3;3;NA;NA
12571025;6050600;FALLA CORE TX - RIESGO;18/07/2017 10:47;18/07/2017 11:10;2;OT;PEINGCTR;8.84;8.84;Ingetelca;CENTRAL;PLEX;3;CENTRAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12577920;6050600;FALLA CORE TX - RIESGO;18/07/2017 10:47;18/07/2017 21:08;2;OT;PEINGCTR;0.3;0.3;Ingetelca;CENTRAL;PLEX;3;CENTRAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12571005;6050616;FALLA CORE TX - AFECTACION;18/07/2017 10:57;18/07/2017 11:07;3;OT;MASS-TX;0.17;0.17;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12571104;6050616;FALLA CORE TX - AFECTACION;18/07/2017 10:57;18/07/2017 11:17;3;OT;RF-GUA09;1.73;1.73;Masscardy;CENTRAL;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12571180;6050623;FALLA INTERNET;18/07/2017 11:01;18/07/2017 11:25;5;BUC;PEBUCOW;0.57;0.57;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12571537;6050642;FALLA CORE TX - AFECTACION;18/07/2017 11:11;18/07/2017 11:54;3;OT;PEINGCTR;2.98;2.98;Ingetelca;CENTRAL;PLEX;3;CENTRAL;CORE;NA;SI APLICA;NA;NA;1;NA
12571342;6050655;FALLA CORE TX - RIESGO;18/07/2017 11:17;18/07/2017 11:35;2;OT;MASS-TX;0.23;0.23;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12571495;6050655;FALLA CORE TX - RIESGO;18/07/2017 11:17;18/07/2017 11:49;2;OT;RF-ESC03;4.6;4.6;Masscardy;ESCUINTLA;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12571557;6050669;FALLA DATOS;18/07/2017 11:27;18/07/2017 11:56;5;BUC;PESOLQTZ;2.54;2.54;Soltec;QUETZALTENANGO;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12573324;6050725;FALLA DATOS;18/07/2017 12:06;18/07/2017 15:21;5;BUC;PEBUCQTZ;1.26;1.26;Soltec;QUETZALTENANGO;PLEX;3;RURAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12573643;6050991;FALLA CORE TX - RIESGO;18/07/2017 15:38;18/07/2017 15:53;2;OT;MASS-TX;0.27;0.27;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12575280;6050991;FALLA CORE TX - RIESGO;18/07/2017 15:38;18/07/2017 16:09;2;OT;RF-EPG01;1.32;1.32;Masscardy;EL PROGRESO;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12577869;6051093;RBS FUERA DE SERVICIO ON 172.16.5.75;18/07/2017 16:29;18/07/2017 20:54;3;OT;PEINGCTR;1.31;1.31;Ingetelca;CENTRAL;PLEX;3;CENTRAL;CORE;NA;SI APLICA;3;5;NA;NA
12580800;6051139;FALLA INTERNET;18/07/2017 17:28;19/07/2017 10:37;5;BUC;PEBUCOW;0.05;1.47;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12577633;6051240;FALLA CORE TX - AFECTACION;18/07/2017 19:56;18/07/2017 20:10;3;OT;PESOLCOA;1.48;1.48;Soltec;COATEPEQUE;PLEX;4;RURAL;CORE;NA;SI APLICA;4;2;1;NA
12578057;6051285;FALLA CORE TX - AFECTACION;18/07/2017 20:53;18/07/2017 22:01;3;OT;MASS-TX;0.3;0.3;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12578084;6051285;FALLA CORE TX - AFECTACION;18/07/2017 20:53;18/07/2017 22:20;3;OT;RF-GUA10;0.29;0.29;Masscardy;CENTRAL;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12578633;6051285;FALLA CORE TX - AFECTACION;18/07/2017 20:53;19/07/2017 05:35;3;OT;PEINGCTR;3.09;3.09;Ingetelca;CENTRAL;PLEX;3;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12578038;6051290;FALLA CORE TX - AFECTACION;18/07/2017 21:15;18/07/2017 21:47;3;OT;MASS-TX;0.17;0.17;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12578055;6051290;FALLA CORE TX - AFECTACION;18/07/2017 21:15;18/07/2017 21:58;3;OT;RF-AVP02;1.1;1.1;Masscardy;ALTA VERAPAZ;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;1;NA
12579825;6051290;FALLA CORE TX - AFECTACION;18/07/2017 21:15;19/07/2017 09:25;3;OT;PESOLAVP;1.18;1.18;Soltec;COBAN;PLEX;4;RURAL;CORE;NA;SI APLICA;5;3;1;NA
12578054;6051291;FALLA CORE TX - RIESGO;18/07/2017 21:22;18/07/2017 21:57;2;OT;MASS-TX;0.32;0.32;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12578040;6051292;FALLA CORE TX - RIESGO;18/07/2017 21:26;18/07/2017 21:48;2;OT;MASS-TX;0.24;0.24;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12578056;6051293;NOC TX,ENERGIA;18/07/2017 21:40;18/07/2017 22:00;NA;BUC;MASS-TX;0.39;0.39;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12578283;6051308;CORTE ANILLO DWDM EL RANCHO A SANARATE;18/07/2017 23:34;19/07/2017 00:00;NA;OT;TIWS;0.22;0.22;Ufinet;TELEFONICA;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;1;NA
12578289;6051308;CORTE ANILLO DWDM EL RANCHO A SANARATE;18/07/2017 23:34;19/07/2017 00:28;NA;OT;TIWS;1.44;1.44;Ufinet;TELEFONICA;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;1;NA
12578426;6051308;CORTE ANILLO DWDM EL RANCHO A SANARATE;18/07/2017 23:34;19/07/2017 03:48;NA;OT;TIWS;1.42;1.42;Ufinet;TELEFONICA;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;1;NA
12578330;6051316;CORTE SDH SAN MARCOS A COATEPEQUE;19/07/2017 01:01;19/07/2017 01:20;NA;OT;PESOLSMR;2.27;2.27;Soltec;SAN MARCOS;PLEX;4;RURAL;CORE;NA;SI APLICA;5;2;NA;NA
12578352;6051318;ATN DOWN;19/07/2017 01:25;19/07/2017 01:57;NA;OT;MASS-TX;1.57;1.57;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;3;2;1;NA
